parameters,count,mean,std,min,25%,50%,75%,max
theta.129,4000.0,-0.6859346529200654,0.43130326796517104,-2.0319470393952663,-0.9867683926013323,-0.6932550894096474,-0.395323118562695,1.0768442015414608
theta.130,4000.0,-0.22684549114140123,0.43927704208503066,-1.7682129658661838,-0.5335522840587524,-0.24284074138939518,0.07304509841971922,1.7909683874012319
theta.131,4000.0,0.051314925324451456,0.4449096008081529,-1.3375461970580262,-0.2514126376891267,0.05018637077550144,0.35258742460747367,1.6741180187878835
theta.132,4000.0,-0.3922434379426579,0.42187741979790927,-1.9104167041181814,-0.6793774780998968,-0.3918344305589534,-0.11833587546910856,1.361066288910948
theta.133,4000.0,-0.30109562949271623,0.44279393101794373,-2.02715267958408,-0.5980457790447486,-0.3018124028457929,-0.011992338944178152,1.2987502668680453
theta.134,4000.0,-1.3743973715152165,0.40763431172750586,-3.1230782602618232,-1.6494394965277697,-1.3762425617130296,-1.0984523418781496,0.041377387115078115
theta.135,4000.0,0.48277835130570373,0.45481299022022326,-1.1749546757216025,0.1861144822352781,0.4748933442834744,0.7755616918496737,2.1016167986186214
theta.136,4000.0,-1.0818665271156325,0.42607034032111696,-2.6793587079139054,-1.3728924668956821,-1.0840797456068834,-0.7926523560709897,0.39007940015090203
theta.137,4000.0,0.014569124116668827,0.46029623452919377,-1.5107193080177814,-0.28880769797497213,0.008051322786007542,0.3206659125631769,1.971980177478144
theta.138,4000.0,-0.1479760776819418,0.4326758670723282,-1.5084207772463052,-0.4534989348842441,-0.1500906387381543,0.1465493253333194,1.3152320004899551
theta.139,4000.0,-0.23874822127071127,0.4248096620723963,-1.808519142020791,-0.5314114007984335,-0.237248388604138,0.04874980154182586,1.2462088715832573
theta.140,4000.0,-0.7928623355993194,0.4434569889111599,-2.6102153286117895,-1.0890378241855585,-0.7894411326644377,-0.4992443439307507,0.8104468180981489
theta.141,4000.0,-1.432354080008492,0.42326854832037336,-2.848187463753696,-1.7148570993220715,-1.4440031648516114,-1.1422061401103156,0.050784112477225
theta.142,4000.0,0.741883227707832,0.47187695945612945,-0.9926571889479888,0.41233417269872014,0.7335121159308787,1.052979803744017,3.1203435080890665
